# File for database AERA_3_A
#
station	WGS 84 latitude	WGS 84 longitude	UTM south (m)	UTM east (m)	altitude (m)
#
AERA_071	-35.115543715	-69.562170786	6113998.890	448772.920	1577.988	19H
AERA_072	-35.115730895	-69.559697369	6113979.401	448998.426	1575.633	19H
AERA_073	-35.115943980	-69.556893568	6113957.202	449254.053	1574.171	19H
AERA_074	-35.116160870	-69.554219546	6113934.508	449497.855	1572.703	19H
AERA_075	-35.116194260	-69.551394125	6113932.234	449755.339	1570.225	19H
AERA_076	-35.116271338	-69.548667904	6113925.058	450003.810	1567.451	19H
AERA_077	-35.116275561	-69.545957170	6113925.947	450250.825	1566.115	19H
AERA_078	-35.116335294	-69.543214638	6113920.689	450500.771	1563.892	19H
AERA_079	-35.116297121	-69.540395065	6113926.320	450757.678	1561.290	19H
AERA_080	-35.116304755	-69.537703039	6113926.801	451002.990	1559.276	19H
AERA_081	-35.116312359	-69.534998304	6113927.285	451249.460	1557.289	19H
AERA_082	-35.116337315	-69.532225532	6113925.871	451502.140	1555.267	19H
AERA_083	-35.116291964	-69.529500359	6113932.224	451750.441	1552.354	19H
AERA_084	-35.116341162	-69.526787012	6113928.079	451997.720	1550.618	19H
AERA_085	-35.116309940	-69.524027440	6113932.868	452249.164	1548.698	19H
AERA_086	-35.119157636	-69.557746709	6113600.372	449178.307	1572.537	19H
AERA_087	-35.113646427	-69.546825420	6114217.084	450170.106	1568.524	19H
AERA_088	-35.092865958	-69.519062302	6116535.167	452688.060	1550.801	19H
AERA_089	-35.119180138	-69.553602403	6113599.983	449555.953	1569.609	19H
AERA_090	-35.119159626	-69.549559046	6113604.299	449924.374	1567.099	19H
AERA_091	-35.108549408	-69.552111717	6114779.686	449685.250	1575.283	19H
AERA_092	-35.095799601	-69.529471783	6116204.836	451740.967	1560.796	19H
AERA_093	-35.095816411	-69.525200174	6116205.032	452130.319	1556.527	19H
AERA_094	-35.095879795	-69.521132926	6116199.949	452501.071	1552.831	19H
AERA_095	-35.119219188	-69.545422087	6113599.765	450301.372	1562.642	19H
AERA_096	-35.119169439	-69.541299281	6113607.332	450677.014	1560.426	19H
AERA_097	-35.119226587	-69.537172119	6113603.031	451053.117	1557.143	19H
AERA_098	-35.107286303	-69.544130790	6114923.766	450411.806	1569.747	19H
AERA_099	-35.098715686	-69.535569845	6115878.473	451186.888	1565.452	19H
AERA_100	-35.098721337	-69.531437191	6115879.863	451563.555	1562.046	19H
AERA_101	-35.098673282	-69.527292768	6115887.199	451941.263	1558.163	19H
AERA_102	-35.098693471	-69.523230074	6115886.912	452311.562	1554.453	19H
AERA_103	-35.098813504	-69.519085634	6115875.576	452689.369	1551.013	19H
AERA_104	-35.119179364	-69.532788864	6113610.413	451452.494	1553.330	19H
AERA_105	-35.119313700	-69.524816846	6113599.372	452178.986	1546.442	19H
AERA_106	-35.122100480	-69.553637701	6113276.099	449554.537	1567.771	19H
AERA_107	-35.108725674	-69.541563178	6114765.415	450646.670	1566.554	19H
AERA_108	-35.101644070	-69.541709754	6115550.691	450629.042	1569.114	19H
AERA_109	-35.101576138	-69.537747076	6115560.181	450990.160	1566.183	19H
AERA_110	-35.101681595	-69.533564983	6115550.535	451371.379	1561.906	19H
AERA_111	-35.101716639	-69.529403018	6115548.672	451750.721	1558.530	19H
AERA_112	-35.101729252	-69.525306979	6115549.249	452124.041	1554.990	19H
AERA_113	-35.101777890	-69.521052839	6115545.891	452511.791	1551.262	19H
AERA_114	-35.122112835	-69.545407554	6113278.867	450304.454	1561.658	19H
AERA_115	-35.122155080	-69.537206382	6113278.244	451051.747	1555.664	19H
AERA_116	-35.122233329	-69.528940172	6113273.598	451804.987	1548.566	19H
AERA_117	-35.122215137	-69.520729863	6113279.558	452553.076	1542.390	19H
AERA_118	-35.104566884	-69.552087088	6115221.360	449685.047	1577.344	19H
AERA_119	-35.104478044	-69.547915765	6115233.311	450065.154	1574.247	19H
AERA_120	-35.104546113	-69.543846758	6115227.794	450436.032	1570.265	19H
AERA_121	-35.104566574	-69.539677525	6115227.591	450816.015	1567.231	19H
AERA_122	-35.104615081	-69.535538811	6115224.247	451193.233	1563.173	19H
AERA_123	-35.104663435	-69.531400387	6115220.904	451570.424	1559.381	19H
AERA_124	-35.104608221	-69.527324469	6115229.001	451941.857	1556.073	19H
AERA_125	-35.104643905	-69.523250948	6115227.001	452313.125	1553.028	19H
AERA_126	-35.104726187	-69.519093437	6115219.858	452692.074	1549.198	19H
AERA_127	-35.127997360	-69.557793120	6112620.020	449179.570	1565.840	19H
AERA_128	-35.127983491	-69.549583468	6112625.718	449927.549	1561.707	19H
AERA_129	-35.128011427	-69.541346322	6112626.731	450678.058	1554.885	19H
AERA_130	-35.128019706	-69.533150016	6112629.842	451424.834	1549.152	19H
AERA_131	-35.107383821	-69.562329672	6114903.741	448753.333	1584.342	19H
AERA_132	-35.107426841	-69.558191412	6114901.091	449130.495	1580.710	19H
AERA_133	-35.107410980	-69.554168248	6114904.897	449497.131	1577.108	19H
AERA_134	-35.107501246	-69.550120462	6114896.931	449866.076	1574.063	19H
AERA_135	-35.107515400	-69.529466827	6114905.560	451748.323	1557.432	19H
